"","countrycode","UDel_p_pop","year"
"1","ABW",NA,1900
"2","AFG",328.361141179423,1900
"3","AGO",982.617604935714,1900
"4","AIA",NA,1900
"5","ALB",1516.53921069752,1900
"6","ALA",607.1,1900
"7","AND",1009.47648731093,1900
"8","ARE",212.91737895566,1900
"9","ARG",1142.33369277884,1900
"10","ARM",589.560298470963,1900
"11","ASM",NA,1900
"12","ATA",NA,1900
"13","Ashm",NA,1900
"14","ATF",NA,1900
"15","ATG",NA,1900
"16","AUS",936.748096699175,1900
"17","AUT",958.280770554075,1900
"18","AZE",541.204874879856,1900
"19","BDI",1311.72821742002,1900
"20","BEL",684.456597208874,1900
"21","BEN",1218.16548115521,1900
"22","BFA",851.615110054311,1900
"23","BGD",1919.41479425323,1900
"24","BGR",743.207541035319,1900
"25","BHR",NA,1900
"26","BHS",1250.74814600703,1900
"27","BIH",1430.53435121569,1900
"28","BLM",NA,1900
"29","BLR",560.695911210938,1900
"30","BLZ",2195.67614428948,1900
"31","BMU",NA,1900
"32","BOL",985.553569400926,1900
"33","BRA",1384.85907237838,1900
"34","BRB",NA,1900
"35","BRN",3722.54512486069,1900
"36","BTN",3129.40693132372,1900
"37","BWA",531.530716978494,1900
"38","CAF",1257.90174185293,1900
"39","CAN",918.972995745216,1900
"40","CHE",1227.83021962247,1900
"41","CHL",1022.12997614527,1900
"42","CHN",763.54336299958,1900
"43","CIV",1465.81228747225,1900
"44","CMR",1558.79359592829,1900
"45","COD",1476.98868900811,1900
"46","COG",1149.02940490018,1900
"47","COK",1951.2,1900
"48","COL",1907.2284342859,1900
"49","COM",2372,1900
"50","CPV",790.5,1900
"51","CRI",3815.26947558122,1900
"52","CUB",1299.99806837579,1900
"53","CUW",NA,1900
"54","CYM",1195.1,1900
"55","CYN",477.838718175774,1900
"56","CYP",580.42591409376,1900
"57","CZE",673.00128023776,1900
"58","DEU",799.992531984121,1900
"59","DJI",174.603169441729,1900
"60","DMA",NA,1900
"61","DNK",654.313956931137,1900
"62","DOM",1486.53283773809,1900
"63","DZA",596.394860323782,1900
"64","ECU",1404.07691988036,1900
"65","EGY",74.9581756147551,1900
"66","ERI",481.316363944951,1900
"67","ESP",669.354186674586,1900
"68","EST",508.48868213508,1900
"69","ETH",1131.90376248941,1900
"70","FIN",600.957793542221,1900
"71","FJI",2046.98448929897,1900
"72","FLK",683.252259379962,1900
"73","FRA",761.021216528472,1900
"74","FRO",NA,1900
"75","FSM",NA,1900
"76","GAB",1905.87877446316,1900
"77","Gaza",322.9,1900
"78","GBR",827.712396446834,1900
"79","GEO",1037.27530260456,1900
"80","GGY",NA,1900
"81","GHA",1158.33408388843,1900
"82","GIN",2458.73227616495,1900
"83","GMB",1004.18686885517,1900
"84","GNB",1730.64673987386,1900
"85","GNQ",1978.78401548305,1900
"86","GRC",730.939987121577,1900
"87","GRD",NA,1900
"88","GRL",799.044426067875,1900
"89","GTM",2757.92054378849,1900
"90","GUM",NA,1900
"91","GUY",2227.92565225861,1900
"92","HKG",1763.8,1900
"93","HMD",NA,1900
"94","HND",1939.66637380589,1900
"95","HRV",1172.85540408241,1900
"96","HTI",1229.55811021771,1900
"97","HUN",694.265427822479,1900
"98","IDN",2671.70990297325,1900
"99","IMN",NA,1900
"100","IND",1159.74774430715,1900
"101","IOA",NA,1900
"102","IOT",NA,1900
"103","IRL",1148.75397297784,1900
"104","IRN",332.880869729322,1900
"105","IRQ",265.110351146676,1900
"106","ISL",828.259636404133,1900
"107","ISR",813.650739070594,1900
"108","ITA",1153.2027109002,1900
"109","JAM",1897.53904452859,1900
"110","JEY",782.8,1900
"111","JOR",411.663126674401,1900
"112","JPN",1486.916292831,1900
"113","KAS",201.2,1900
"114","KAZ",349.795697226985,1900
"115","KEN",1445.65040737341,1900
"116","KGZ",432.578879900503,1900
"117","KHM",1811.40985682999,1900
"118","KIR",NA,1900
"119","KNA",NA,1900
"120","KOR",1031.71745403383,1900
"121","KOS",896.130807988286,1900
"122","KWT",280.295677105129,1900
"123","LAO",1736.49341117615,1900
"124","LBN",1251.86952813568,1900
"125","LBR",3154.4644894507,1900
"126","LBY",179.46707647514,1900
"127","LCA",NA,1900
"128","LIE",1662.87530507159,1900
"129","LKA",2781.34113803854,1900
"130","LSO",796.925854479329,1900
"131","LTU",618.27968229706,1900
"132","LUX",739.1,1900
"133","LVA",626.577895146132,1900
"134","MAC",1556.9,1900
"135","MAF",NA,1900
"136","MAR",473.077043428176,1900
"137","MCO",843.7,1900
"138","MDA",510.918628623296,1900
"139","MDG",1516.61547441883,1900
"140","MDV",NA,1900
"141","MEX",988.867368160197,1900
"142","MHL",NA,1900
"143","MKD",876.350646188449,1900
"144","MLI",745.026933677344,1900
"145","MLT",NA,1900
"146","MMR",1811.32337065134,1900
"147","MNE",1803.19508577386,1900
"148","MNG",158.430061484644,1900
"149","MNP",NA,1900
"150","MOZ",949.277296833066,1900
"151","MRT",224.234583411809,1900
"152","MSR",NA,1900
"153","MUS",1592.2,1900
"154","MWI",1111.79251565267,1900
"155","MYS",2498.08196165411,1900
"156","NAM",422.757448327036,1900
"157","NCL",1440.05704606068,1900
"158","NER",587.548681096837,1900
"159","NFK",NA,1900
"160","NGA",1414.16168138826,1900
"161","NIC",1932.02694085439,1900
"162","NIU",NA,1900
"163","NLD",787.979180620952,1900
"164","NOR",985.287572459105,1900
"165","NPL",1577.85531203755,1900
"166","NRU",NA,1900
"167","NZL",1131.03418800774,1900
"168","OMN",217.240935719947,1900
"169","PAK",417.498941752922,1900
"170","PAN",2798.91670497665,1900
"171","PCN",NA,1900
"172","PER",724.752549904453,1900
"173","PHL",2222.51288551812,1900
"174","PLW",NA,1900
"175","PNG",2271.88193221032,1900
"176","POL",569.326186133966,1900
"177","PRI",2218.02001925483,1900
"178","PRK",747.327241314259,1900
"179","PRT",1039.2519082071,1900
"180","PRY",1452.84300180964,1900
"181","PYF",2127.3,1900
"182","QAT",171.244089609958,1900
"183","ROU",581.090062970552,1900
"184","RUS",506.199428442589,1900
"185","RWA",1279.36478830614,1900
"186","ESH",59.5421341143773,1900
"187","SAU",152.262279972672,1900
"188","SDN",389.25331430262,1900
"189","SSD",972.819810331685,1900
"190","SEN",674.030276592673,1900
"191","SGP",NA,1900
"192","SGS",NA,1900
"193","SHN",NA,1900
"194","SLB",2213.17900841566,1900
"195","SLE",3278.93943659406,1900
"196","SLV",2371.82906751477,1900
"197","SMR",1064.94170739856,1900
"198","SOL",282.538304314036,1900
"199","SOM",410.334566437645,1900
"200","SPM",NA,1900
"201","SRB",826.354562731226,1900
"202","STP",1595.4,1900
"203","SUR",2253.69312472218,1900
"204","SVK",795.101618761969,1900
"205","SVN",1320.96654420219,1900
"206","SWE",684.4728896518,1900
"207","SWZ",647.027791517469,1900
"208","SXM",NA,1900
"209","SYC",NA,1900
"210","SYR",496.889684036784,1900
"211","TCA",494.3,1900
"212","TCD",656.284451710848,1900
"213","TGO",1175.13994314657,1900
"214","THA",1453.66993409932,1900
"215","TJK",488.002814184517,1900
"216","TKM",170.975419701019,1900
"217","TLS",1365.51339145607,1900
"218","TON",NA,1900
"219","TTO",1988.48169985663,1900
"220","TUN",353.037181657179,1900
"221","TUR",580.52019556816,1900
"222","TWN",2182.77022793712,1900
"223","TZA",1223.97723647118,1900
"224","UGA",1304.1698936355,1900
"225","UKR",503.717868879355,1900
"226","URY",1658.81822854395,1900
"227","USA",965.422988311812,1900
"228","UZB",278.219738432643,1900
"229","VAT",1510,1900
"230","VCT",1965.1,1900
"231","VEN",1205.47348605931,1900
"232","VGB",NA,1900
"233","VIR",1039.6,1900
"234","VNM",1785.20559542914,1900
"235","VUT",2173.50711018964,1900
"236","PSE",684.111769620083,1900
"237","WLF",NA,1900
"238","WSM",2130.6,1900
"239","YEM",273.266384560102,1900
"240","ZAF",670.359904080877,1900
"241","ZMB",1159.90868687946,1900
"242","ZWE",833.860052344106,1900
"243","TUV",NA,1900
"244","GUF",2074.21453376671,1900
"245","ABW",NA,1901
"246","AFG",288.604254307425,1901
"247","AGO",872.637506671196,1901
"248","AIA",NA,1901
"249","ALB",1406.41647722123,1901
"250","ALA",448.2,1901
"251","AND",949.192518395777,1901
"252","ARE",97.2377821766493,1901
"253","ARG",720.768300622719,1901
"254","ARM",572.966700691296,1901
"255","ASM",NA,1901
"256","ATA",NA,1901
"257","Ashm",NA,1901
"258","ATF",NA,1901
"259","ATG",NA,1901
"260","AUS",779.791231561559,1901
"261","AUT",871.027998335758,1901
"262","AZE",476.187734383266,1901
"263","BDI",802.007482948191,1901
"264","BEL",610.283446858656,1901
"265","BEN",1454.66053441638,1901
"266","BFA",909.514549016704,1901
"267","BGD",1769.33658377628,1901
"268","BGR",727.87780608816,1901
"269","BHR",NA,1901
"270","BHS",1506.40483032993,1901
"271","BIH",1262.43402401558,1901
"272","BLM",NA,1901
"273","BLR",580.09227964027,1901
"274","BLZ",2009.55434401448,1901
"275","BMU",NA,1901
"276","BOL",953.73839674888,1901
"277","BRA",1432.38664376709,1901
"278","BRB",NA,1901
"279","BRN",3527.24116128746,1901
"280","BTN",2468.52349944203,1901
"281","BWA",549.794020974366,1901
"282","CAF",1489.01132269047,1901
"283","CAN",864.362001940456,1901
"284","CHE",1207.94279374595,1901
"285","CHL",846.15053000653,1901
"286","CHN",873.379113709363,1901
"287","CIV",1852.14540512411,1901
"288","CMR",1806.24597757775,1901
"289","COD",1266.70710385756,1901
"290","COG",1116.27292599079,1901
"291","COK",2575.7,1901
"292","COL",1896.01854456914,1901
"293","COM",2501.7,1901
"294","CPV",668.3,1901
"295","CRI",3982.26536793244,1901
"296","CUB",1689.68564397738,1901
"297","CUW",NA,1901
"298","CYM",1426.8,1901
"299","CYN",259.465232661542,1901
"300","CYP",330.847857490222,1901
"301","CZE",583.375217873758,1901
"302","DEU",781.236509846938,1901
"303","DJI",263.857366793545,1901
"304","DMA",NA,1901
"305","DNK",575.323093842693,1901
"306","DOM",1782.44348461178,1901
"307","DZA",573.274350949864,1901
"308","ECU",1549.94470008057,1901
"309","EGY",55.0001054744108,1901
"310","ERI",417.7082485465,1901
"311","ESP",734.234905936425,1901
"312","EST",399.574074803424,1901
"313","ETH",1160.22180881455,1901
"314","FIN",468.532228377608,1901
"315","FJI",2741.03358594145,1901
"316","FLK",596.460529757383,1901
"317","FRA",754.915910141593,1901
"318","FRO",NA,1901
"319","FSM",NA,1901
"320","GAB",1999.72928555571,1901
"321","Gaza",262.4,1901
"322","GBR",669.614581826015,1901
"323","GEO",1130.22186359636,1901
"324","GGY",NA,1901
"325","GHA",1328.10774502837,1901
"326","GIN",2853.95224813776,1901
"327","GMB",1074.6309048032,1901
"328","GNB",1881.59730720238,1901
"329","GNQ",2190.13331261249,1901
"330","GRC",732.192932609672,1901
"331","GRD",NA,1901
"332","GRL",909.101449091368,1901
"333","GTM",2507.15430663681,1901
"334","GUM",NA,1901
"335","GUY",2130.53164331767,1901
"336","HKG",1408.2,1901
"337","HMD",NA,1901
"338","HND",1815.29091001934,1901
"339","HRV",1042.91273676728,1901
"340","HTI",1366.2553040487,1901
"341","HUN",562.558647296155,1901
"342","IDN",2564.37140141348,1901
"343","IMN",NA,1901
"344","IND",1081.49019319926,1901
"345","IOA",NA,1901
"346","IOT",NA,1901
"347","IRL",913.124972882252,1901
"348","IRN",261.218042254308,1901
"349","IRQ",162.789876543075,1901
"350","ISL",853.18525673556,1901
"351","ISR",622.329413859606,1901
"352","ITA",1198.80376363593,1901
"353","JAM",2449.42306246201,1901
"354","JEY",618.2,1901
"355","JOR",300.850119090502,1901
"356","JPN",1607.0262508434,1901
"357","KAS",125.8,1901
"358","KAZ",427.696461440627,1901
"359","KEN",1075.26643505919,1901
"360","KGZ",534.552192343769,1901
"361","KHM",1720.85752047653,1901
"362","KIR",NA,1901
"363","KNA",NA,1901
"364","KOR",976.849750172615,1901
"365","KOS",794.268029751329,1901
"366","KWT",116.595804418485,1901
"367","LAO",1768.99889958158,1901
"368","LBN",957.68194737212,1901
"369","LBR",3811.94948399248,1901
"370","LBY",217.8047921896,1901
"371","LCA",NA,1901
"372","LIE",1561.77271241843,1901
"373","LKA",2425.4099546821,1901
"374","LSO",849.955600094799,1901
"375","LTU",669.22652724207,1901
"376","LUX",739,1901
"377","LVA",548.204455900604,1901
"378","MAC",1321.6,1901
"379","MAF",NA,1901
"380","MAR",630.993783434783,1901
"381","MCO",1036.9,1901
"382","MDA",608.021698418585,1901
"383","MDG",1649.40726112856,1901
"384","MDV",NA,1901
"385","MEX",900.044376715555,1901
"386","MHL",NA,1901
"387","MKD",802.213592931815,1901
"388","MLI",857.255054338734,1901
"389","MLT",NA,1901
"390","MMR",1965.04649733166,1901
"391","MNE",1627.56274066343,1901
"392","MNG",197.8734617436,1901
"393","MNP",NA,1901
"394","MOZ",1277.78996655155,1901
"395","MRT",338.368785107974,1901
"396","MSR",NA,1901
"397","MUS",1500.1,1901
"398","MWI",1141.41866521663,1901
"399","MYS",2480.40012279928,1901
"400","NAM",395.194723871018,1901
"401","NCL",1344.95386053834,1901
"402","NER",768.881682432571,1901
"403","NFK",NA,1901
"404","NGA",1655.6214791192,1901
"405","NIC",1991.38865680867,1901
"406","NIU",NA,1901
"407","NLD",775.872745974568,1901
"408","NOR",916.03168040116,1901
