"","countrycode","UDel_t_pop","year"
"1","ABW",NA,1900
"2","AFG",11.2930824395767,1900
"3","AGO",21.587836819819,1900
"4","AIA",NA,1900
"5","ALB",13.8353151839849,1900
"6","ALA",5,1900
"7","AND",9.9862401172166,1900
"8","ARE",26.9985615457452,1900
"9","ARG",17.2535729518603,1900
"10","ARM",7.64847390175806,1900
"11","ASM",NA,1900
"12","ATA",NA,1900
"13","Ashm",NA,1900
"14","ATF",NA,1900
"15","ATG",NA,1900
"16","AUS",16.3419797170132,1900
"17","AUT",7.78577813744974,1900
"18","AZE",11.6892960531866,1900
"19","BDI",20.079483896326,1900
"20","BEL",10.0882884635631,1900
"21","BEN",27.8561451971725,1900
"22","BFA",28.8057933259699,1900
"23","BGD",25.7912771274849,1900
"24","BGR",10.7084909802424,1900
"25","BHR",NA,1900
"26","BHS",25.7989494225757,1900
"27","BIH",9.12213755306395,1900
"28","BLM",NA,1900
"29","BLR",5.99717722021164,1900
"30","BLZ",25.8161783287642,1900
"31","BMU",NA,1900
"32","BOL",17.7970871077955,1900
"33","BRA",21.8395940830023,1900
"34","BRB",NA,1900
"35","BRN",27.2679496889694,1900
"36","BTN",12.6538045510101,1900
"37","BWA",21.4844264640066,1900
"38","CAF",24.7038619871331,1900
"39","CAN",5.73158214740025,1900
"40","CHE",7.70318140866075,1900
"41","CHL",9.97905339851748,1900
"42","CHN",14.0930603554481,1900
"43","CIV",26.8252369366332,1900
"44","CMR",23.649720101228,1900
"45","COD",23.0175784641754,1900
"46","COG",24.4479589941764,1900
"47","COK",23.9,1900
"48","COL",20.9854546704865,1900
"49","COM",24.9,1900
"50","CPV",21,1900
"51","CRI",22.5964442278667,1900
"52","CUB",25.3769187268007,1900
"53","CUW",NA,1900
"54","CYM",28,1900
"55","CYN",19.1636230611538,1900
"56","CYP",18.2296666923316,1900
"57","CZE",8.4852715311187,1900
"58","DEU",9.04030872681987,1900
"59","DJI",27.744173677562,1900
"60","DMA",NA,1900
"61","DNK",7.67607719302563,1900
"62","DOM",24.8847000559476,1900
"63","DZA",16.5874245117215,1900
"64","ECU",19.7503785732114,1900
"65","EGY",21.4127489811817,1900
"66","ERI",23.1074882615258,1900
"67","ESP",14.2992170564294,1900
"68","EST",4.1257164548465,1900
"69","ETH",19.2943053965556,1900
"70","FIN",2.34457338581868,1900
"71","FJI",23.5804698902046,1900
"72","FLK",6.40784494247233,1900
"73","FRA",11.1268893898796,1900
"74","FRO",NA,1900
"75","FSM",NA,1900
"76","GAB",24.4682792010447,1900
"77","Gaza",20.2,1900
"78","GBR",9.32270777821962,1900
"79","GEO",10.48290781601,1900
"80","GGY",NA,1900
"81","GHA",27.0776305554973,1900
"82","GIN",25.472402416264,1900
"83","GMB",26.7381384802624,1900
"84","GNB",26.9995004121825,1900
"85","GNQ",23.83796596563,1900
"86","GRC",15.5210656602284,1900
"87","GRD",NA,1900
"88","GRL",-3.95919851063593,1900
"89","GTM",22.5349468279197,1900
"90","GUM",NA,1900
"91","GUY",26.705954987368,1900
"92","HKG",22.1,1900
"93","HMD",NA,1900
"94","HND",24.2352124853639,1900
"95","HRV",11.8841825447187,1900
"96","HTI",23.8817122298385,1900
"97","HUN",10.8458220511348,1900
"98","IDN",24.7632754946851,1900
"99","IMN",NA,1900
"100","IND",25.8985090074535,1900
"101","IOA",NA,1900
"102","IOT",NA,1900
"103","IRL",8.32322808798278,1900
"104","IRN",14.7065833804638,1900
"105","IRQ",22.0446929930888,1900
"106","ISL",1.33261901975564,1900
"107","ISR",19.7279748745619,1900
"108","ITA",13.1899272547481,1900
"109","JAM",24.4513716363273,1900
"110","JEY",10.8,1900
"111","JOR",17.8483708248793,1900
"112","JPN",12.8292981114574,1900
"113","KAS",-4.1,1900
"114","KAZ",4.72034191616977,1900
"115","KEN",20.6656697861171,1900
"116","KGZ",5.03074726194961,1900
"117","KHM",28.1218545177323,1900
"118","KIR",NA,1900
"119","KNA",NA,1900
"120","KOR",10.6263758677633,1900
"121","KOS",9.72122518645241,1900
"122","KWT",25.7135978646166,1900
"123","LAO",24.1159725098673,1900
"124","LBN",14.3395990235674,1900
"125","LBR",26.1843650774858,1900
"126","LBY",20.5189377677453,1900
"127","LCA",NA,1900
"128","LIE",3.85158358957823,1900
